CO_CEP,Latitude,Longitude
33500000,-19.6333052,-43.9784558
26215560,-22.7322773,-43.5000645
18608540,-22.8708519,-48.458645
18134120,-23.5621213,-47.0862612
59628828,-5.2180344,-37.3412308
30220150,-19.9420319,-43.9235985
55298140,-8.8855127,-36.4696958
60767700,-3.8123266,-38.5789806
31535060,-19.9227318,-43.9450948
13070160,-22.8861551,-47.0738954
4866005,-23.5383214,-46.6391624
97574240,-30.8844611,-55.522291
17404340,-22.2123569,-49.7302759
61650410,-3.7505052,-38.6072837
28080525,-21.7440925,-41.3272422
6341160,-23.5427302,-46.8240848
83607120,-25.4508444,-49.5490135
45028105,-14.8570284,-40.8544709
93010001,-29.7624989,-51.1465645
74785320,-16.680882,-49.2532691
65042450,-2.5295265,-44.2963942
59070310,-5.8193078,-35.2126281
89251000,-26.455267,-49.0957677
81830095,-25.5059891,-49.2746167
78307000,-13.7248675,-59.2552418
44110000,-12.3434902,-38.8727273
21941352,-22.8052302,-43.2120567
70200640,-15.8143327,-47.8862877
26285580,-22.7322773,-43.5000645
4777042,-23.5383214,-46.6391624
3265010,-23.5383214,-46.6391624
52130190,-8.0077686,-34.8922233
68503430,-5.3326981,-49.0788164
38010130,-19.8029911,-47.9256899
63500168,-6.3626974,-39.2939808
68744000,-1.2640376,-47.9362509
13280234,-23.0686474,-46.9943661
44690000,-15.6717682,-56.1330688
94190000,-29.9328904,-51.0182246
81150280,-25.4944375,-49.284271
87701000,-23.0801089,-52.4607201
7153340,-23.4547216,-46.4772698
60347500,-3.7125294,-38.5966665
13087440,-22.9056391,-47.059564
23525254,-22.9080777,-43.1790268
49010000,-10.911488,-37.0537487
4430130,-23.5383214,-46.6391624
42808155,-12.7199619,-38.3309407
88803160,-28.6789941,-49.3695627
12517370,-22.7899678,-45.1701707
13206450,-23.1814232,-46.8962348
35598048,-20.282223,-45.539444
13026099,-22.9056391,-47.059564
88036630,-27.5973002,-48.5496098
44054775,-12.3434902,-38.8727273
13284000,-23.0686474,-46.9943661
46117068,-14.2020952,-41.6717058
25555610,-22.7839756,-43.3457664
13322424,-23.1989983,-47.2913682
41500275,-12.9822499,-38.4812772
62030385,-3.6815246,-40.3564673
74180130,-16.680882,-49.2532691
21321230,-22.9080777,-43.1790268
8110210,-23.5005823,-46.4042963
5036000,-23.5222679,-46.6870938
11015505,-23.9446732,-46.3260827
53190010,-8.0102001,-34.8777267
39442038,-15.8141402,-43.3162007
47800476,-12.1541252,-44.9705174
35171080,-19.489011,-42.6234781
28610190,-22.282195,-42.5307861
35770000,-19.2921924,-44.4141961
44034058,-12.3434902,-38.8727273
65919150,-5.4981393,-47.458481
13416382,-22.7162987,-47.637459
48005460,-12.1637841,-38.4306738
38020340,-19.8029911,-47.9256899
15470000,-20.367637,-49.45561
24460010,-22.8651033,-43.0667223
38400738,-18.8941408,-48.2622678
94045020,-29.9328904,-51.0182246
62180000,-3.9802066,-40.6986251
68040290,-2.438489,-54.699611
87701020,-23.0837236,-52.4619693
13276180,-23.0143366,-47.0211215
35523288,-19.8861288,-44.9811147
22795290,-23.0236016,-43.4856054
