cod_escola,nota_enem
11000058,1381.7384615384615
11000198,1240.2340425531916
11000252,1289.0529411764705
11000260,1280.9310606060608
11000317,922.709375
11000350,1306.7147959183671
11000384,991.2203125000001
11000457,1008.25
11000554,1115.690625
11000678,1130.2049418604652
11000708,1057.469140625
11000856,980.9962025316456
11000880,1320.1554347826086
11001046,967.0441406250001
11001119,959.0923387096774
11001135,1096.1489130434784
11001143,894.35375
11001283,1092.9506578947369
11001305,944.7670731707317
11001410,1102.6090909090908
11001496,966.4310606060606
11001550,981.6589622641509
11001640,1138.285632183908
11001887,743.8416666666667
11002018,1013.5637640449438
11002123,961.8093930635839
11002468,1127.5186274509804
11002476,908.6613095238095
11002484,1207.8943143812708
11002506,1007.5025
11002514,959.8213414634147
11002522,1064.13359375
11002549,991.5646551724138
11003065,1079.919736842105
11003081,1290.0398437499998
11003090,1272.022435897436
11003413,962.52
11003812,1007.1625
11003979,928.8830188679244
11004274,912.7801282051282
11004347,1057.6076086956523
11004428,1110.3666666666668
11005041,946.0778169014085
11005360,1000.7186046511628
11005475,1088.7842261904761
11005823,1014.2480769230768
11005939,1066.6625
11006013,862.9115384615385
11006420,773.2464285714286
11006617,937.9617647058824
11006633,885.7276315789475
11006641,1026.258185840708
11006757,915.6428571428571
11006773,978.5978571428573
11006889,1030.2330555555554
11007168,1081.5151785714286
11007656,1382.8007352941177
11007885,1281.66640625
11007893,1179.0092105263157
11008105,1167.3585714285714
11009080,858.109375
11009152,1055.631690140845
11009306,1017.2368421052631
11009888,928.559649122807
11010290,1062.0177083333333
11010665,1077.65
11011491,1191.65625
11011661,1076.4625
11012447,1049.527380952381
11012579,1094.1526315789474
11012684,1063.8
11012994,1092.9268987341773
11013737,1286.5145833333336
11014156,1008.2456140350877
11014300,1013.06625
11014431,1093.5690594059406
11015446,982.255
11015500,1075.3566666666666
11015608,1187.5859375
11015616,1147.575
11015624,1138.121907216495
11015632,1178.0668604651162
11015667,1101.4361111111111
11015683,1070.625
11015896,1240.0318750000001
11016094,1100.7777027027028
11016230,826.95
11017120,1097.8025
11017384,1111.55
11017422,1091.5926470588236
11017775,1179.0121794871795
11017791,1058.6648876404495
11017856,810.9666666666667
11018089,1187.8487288135593
11018267,1017.6421875
11018810,1024.6120689655172
11018950,1090.5026315789473
11019115,930.8392857142858
11019140,1084.5291666666667
11019948,1192.07265625
11019956,1199.365909090909
11020326,938.2916666666667
11020504,1056.7760204081633
11021403,966.6540816326531
11022221,1164.205864197531
11022981,1085.518206521739
11023678,1041.699705882353
11024097,1052.1876984126984
11024437,1113.2283333333335
11024682,1027.2669999999998
11024968,1228.9777027027028
11025638,1124.2859999999998
11025670,1254.7555555555555
11025697,942.5249999999999
11026014,980.4083333333333
11026073,1118.2428571428572
11026197,940.9492424242425
11026278,1075.8326530612244
11026324,1374.798245614035
11027290,1254.891796875
11027312,1076.50875
11027320,996.7630681818182
11027347,1160.4035714285715
11027355,916.8
11027754,1008.0033185840707
11028424,1093.47868852459
11028483,981.4071428571428
11028750,1073.5119047619048
11029056,1273.668181818182
11029110,1092.9425
11029307,1033.1365384615383
11029439,1207.093359375
11029455,1160.6860169491524
11029480,1133.378
11029951,1125.26875
11030003,1214.572222222222
11030216,1047.0478260869565
11030372,1108.857142857143
11030666,820.0016666666667
11031298,1066.1755434782608
11031689,1053.3402777777778
11031964,1220.9202380952381
11032189,1115.6354166666665
11032260,1142.53
11032359,1008.415625
11032510,1011.9037037037037
11033070,952.1395652173912
11033193,841.9354166666667
11033215,1238.2766304347826
11033649,1045.122340425532
11033738,1341.46
11033797,1064.9231751824816
11033819,1106.18125
11033835,1099.8666666666668
11034440,1020.452
11034998,1175.635625
11035080,965.3181818181818
11035951,1147.8363636363636
11035960,1084.4727777777778
11036397,819.265
11036486,954.70625
11037016,1199.6906779661017
11037474,1211.0108974358975
11037601,881.7416666666667
11037660,1378.2217391304348
11038063,908.0816964285714
11038578,1332.9307692307693
11039582,1237.075
11040076,1174.55
11040629,1044.0351851851851
11040793,1162.0162376237622
11041951,1428.7625
